# columns contain whole body metabolic rate normalized by subject mass (W/kg),,,,,,,,,,,,,,,,
subject,experiment,mrsmod_deviceHe,mrsmod_deviceKe,mrsmod_deviceHf,mrsmod_deviceKf,mrsmod_deviceAp,mrsmod_deviceHeKe_coupled,mrsmod_deviceHeKe_independent,mrsmod_deviceHfKf_coupled,mrsmod_deviceHfKf_independent,mrsmod_deviceKfAp_coupled,mrsmod_deviceKfAp_independent,mrsmod_deviceHfAp_coupled,mrsmod_deviceHfAp_independent,mrsmod_deviceHfKfAp_coupled,mrsmod_deviceHfKfAp_independent
,3.124838153,2.944721807,2.909266643,2.322517255,2.639296252,2.854107812,2.818468787,2.772144472,2.24186469,2.192184189,2.338826837,2.290372788,2.036292788,1.865136093,2.034560344,1.712353908
,3.209551194,2.986320763,2.937985302,2.371227522,2.53102783,2.876171039,2.784504603,2.721521847,2.265688663,2.121475076,2.369066777,2.269537249,2.3372999,2.056316374,2.099715577,1.821885469
,3.681372775,3.320501824,3.314357173,2.817749543,2.713692103,3.128648655,3.143278827,3.11232207,2.577922872,2.53223438,2.409676133,2.41237654,2.570793679,2.236078796,2.392019432,1.936090719
,3.32353955,3.071419682,2.972012736,2.554831053,2.437794422,2.886106373,2.878946287,3.025938331,2.300832521,2.268640666,2.162693386,2.12801143,2.285555805,2.124920721,2.049289544,1.76473362
,3.266860714,3.021233169,3.04841557,2.66290806,2.370351874,3.135705526,2.802883995,2.729537497,2.413674427,2.102605912,2.188209101,2.241954941,2.492740117,2.547768945,2.159109533,2.207460967
,3.468524013,3.200531242,3.122358336,2.740669709,2.477240089,3.238909715,3.318014191,2.950952456,2.392133692,2.369163442,2.242179122,2.14759016,2.518029434,2.335761411,2.161078848,2.034516936
,2.862206396,2.672730895,2.919764899,2.343535781,2.439097568,2.375723804,2.578150067,2.497611673,2.307823414,2.104295829,2.147357155,2.056167818,2.13882242,2.070211562,2.048982776,1.977119438
,2.941841309,2.722097993,2.781584501,2.377399429,2.411073207,2.494387343,2.634579152,2.578145478,2.358269367,2.109159969,2.217935027,2.071967588,2.058905283,2.027008005,2.01168168,2.129955659
,2.999319512,2.739194489,2.660920396,2.423489255,2.637404314,2.678019489,2.573081981,2.568320331,2.439247395,2.306790775,2.19387756,2.15759268,2.088495668,2.063837148,2.051973209,1.880367313
,3.128205511,2.823205836,3.024543705,2.483456206,2.588443033,2.557148157,2.674891665,2.681027608,2.50371916,2.399268832,2.150968263,2.033504962,2.142810265,1.894671692,2.008324177,1.826931956
,,,,,,,,,,,,,,,,
,subject,mrsmod_deviceHe,mrsmod_deviceKe,mrsmod_deviceHf,mrsmod_deviceKf,mrsmod_deviceAp,mrsmod_deviceHeKe_coupled,mrsmod_deviceHeKe_independent,mrsmod_deviceHfKf_coupled,mrsmod_deviceHfKf_independent,mrsmod_deviceKfAp_coupled,mrsmod_deviceKfAp_independent,mrsmod_deviceHfAp_coupled,mrsmod_deviceHfAp_independent,mrsmod_deviceHfKfAp_coupled,mrsmod_deviceHfKfAp_independent
,subject01,-5.76402162,-6.898645637,-25.67559852,-15.53814558,-8.663819619,-9.804327511,-11.28678235,-28.25661425,-29.84647262,-25.15366484,-26.70427473,-34.83525584,-40.31255376,-34.89069691,-45.20183691
,subject01,-6.955191481,-8.461179632,-26.11965415,-21.14075529,-10.38712689,-13.24317841,-15.20553241,-29.40792883,-33.90119218,-26.18697651,-29.28801843,-27.17673722,-35.93134211,-34.57915296,-43.2355068
,subject02,-9.802619088,-9.969531036,-23.45927144,-26.28586484,-15.01407636,-14.6166656,-15.45756813,-29.97387034,-31.2149425,-34.54408774,-34.47073449,-30.16752617,-39.25964762,-35.02371049,-47.40845772
,subject02,-7.585884406,-10.57688072,-23.12921166,-26.65065706,-13.16166608,-13.37710162,-8.954345658,-30.77162205,-31.74022359,-34.92800814,-35.97153282,-31.23127406,-36.06452733,-38.34014872,-46.90198225
,subject04,-7.518763926,-6.686699024,-18.48724837,-27.442518,-4.014716237,-14.20252528,-16.44769287,-26.11639618,-35.63833613,-33.01798598,-31.37280291,-23.69616167,-22.01170577,-33.90873617,-32.42867815
,subject04,-7.7264211,-9.980201272,-20.98455428,-28.57941649,-6.619942577,-4.339304622,-14.92195398,-31.0330941,-31.69534267,-35.35639041,-38.08345707,-27.40343083,-32.65834685,-37.69456865,-41.34343806
,subject18,-6.619910467,2.010983651,-18.12135617,-14.78261068,-16.99676838,-9.924383142,-12.73824009,-19.36907775,-26.47994106,-24.97546096,-28.16144145,-25.27364823,-27.67077998,-28.41247303,-30.92324016
,subject18,-7.469584295,-5.44750009,-19.18668686,-18.04203716,-15.20999672,-10.44455239,-12.36286369,-19.83696199,-28.30476742,-24.60725123,-29.56902258,-30.01304058,-31.09730294,-31.61828024,-27.59787375
,subject19,-8.67280135,-11.28252976,-19.19869673,-12.06657701,-10.71243069,-14.21114122,-14.36989888,-18.67330624,-23.08952862,-26.85415639,-28.06392681,-30.36768308,-31.18982025,-31.58537461,-37.30686894
,subject19,-9.749988404,-3.313778637,-20.61083591,-17.25470005,-18.2551099,-14.49117855,-14.29502959,-19.96308583,-23.30207131,-31.23954756,-34.99452148,-31.50033596,-39.43263365,-35.7994809,-41.59808396
